gene,value
RCC1; SNORA73A; SNHG3; SNORA73B,9.1
TRNAU1AP,7.46
RAB42,6.58
GMEB1,7.98
YTHDF2,11.37
OPRD1,5.69
EPB41,10.68
EPB41,8.08
PTPRU,5.99
ZCCHC17,11.88
SERINC2,7.02
LINC01225,6.41
TINAGL1,6.33
HCRTR1,4.81
KHDRBS1,12.58
TMEM39B,7.68
KPNA6,12.81
KPNA6,8.12
TXLNA,10.55
CCDC28B,6.61
IQCC,6.98
DCDC2B,5.13
EIF3I,12.59
FAM167B,5.55
LCK,4.47
HDAC1,12.54
RBBP4,11.9
KIAA1522,7.2
S100PBP,11.05
HPCA,8.06
RNF19B,4.58
AZIN2,7.4
ZNF362,9.6
ZSCAN20,7.16
HMGB4,4.22
C1orf94,5.27
GJB5,5.85
GJB4,4.99
GJB3,4.06
GJA4,5.85
ZMYM1,11.8
ZMYM4,11.32
NCDN,7.33
TFAP2E,4.92
AGO4,7.27
AGO1,9.41
AGO3,11.65
TEKT2,3.85
ADPRHL2,6.1
MAP7D1,12.39
THRAP3,13.31
THRAP3,8.45
CSF3R,3.78
ZC3H12A; MIR6732,8.54
DNALI1,7.51
CDCA8,11.47
MANEAL,9.21
C1orf122,6.87
UTP11L,12.31
RRAGC,4.96
AKIRIN1,10.49
NDUFS5,13.27
MACF1; KIAA0754,14.7
BMP8A,4.69
OXCT2P1,6.99
PPIE,9.48
PPIE,7.62
MFSD2A,9.36
CAP1,16.0
RLF,12.58
TMCO2,4.22
ZMPSTE24,13.48
SMAP2,11.03
ZFP69B,7.14
ZFP69,7.03
EXO5,7.03
ZNF684,9.3
NFYC,10.69
KCNQ4,5.97
CTPS1,12.42
FOXO6,5.76
GUCA2B,5.26
RIMKLA,7.5
PPIH,9.04
YBX1,16.03
YBX1,8.48
ERMAP,6.82
ZNF691,5.59
CFAP57,4.17
TMEM125,5.44
TIE1,6.52
MPL,4.08
CDC20,13.36
SZT2,10.66
PTPRF,9.06
KDM4A,9.27
ST3GAL3; MIR6079,7.46
ARTN,5.96
IPO13,8.18
DPH2,10.94
ATP6V0B,11.56
B4GALT2,9.98
CCDC24,6.77
KLF17,6.74
DMAP1,7.62
RNF220,11.74
C1orf228,6.23
KIF2C,11.81
KIF2C,6.82
RPS8; SNORD55; SNORD46; SNORD38A; SNORD38B,13.96
PLK3,6.03
BTBD19,6.0
UROD,11.13
HPDL,4.51
TOE1,10.65
MMACHC,9.49
AKR1A1,8.28
NASP,13.32
NASP,5.27
NASP,4.89
TMEM69,10.96
MAST2,9.39
TSPAN1,5.89
LURAP1,6.12
RAD54L,8.48
RAD54L,6.76
UQCRH,11.57
NSUN4,10.43
FAAH,5.44
DMBX1,6.11
TEX38,4.81
CYP4X1,3.75
CYP4Z1,5.17
CYP4A22,4.19
CMPK1,11.55
FOXE3,5.03
FOXD2,5.28
SLC5A9,3.94
ELAVL4,3.59
CDKN2C,9.27
C1orf185,5.24
RNF11,11.14
OSBPL9,13.87
BTF3L4,13.5
ZFYVE9,8.75
PRPF38A,13.04
GPX7,6.48
FAM159A,4.32
ZYG11B,10.92
ZYG11A,9.76
SCP2,14.06
PODN,6.45
PODN,3.48
CPT2,7.6
DMRTB1,5.82
DIO1,4.83
LRRC42,9.49
TCEANC2; MIR4781,7.73
MRPL37,13.46
ACOT11,4.43
MROH7; TTC4; MROH7-TTC4,5.08
LEXM,4.55
RP11-67L3.5; RP11-67L3.4; TMEM61,5.34
TMEM61,7.25
BSND,5.67
PCSK9,7.28
PRKAA2,8.1
C8A,4.02
FGGY,6.9
HOOK1,10.49
NFIA,10.25
INADL,7.99
L1TD1,4.2
USP1,14.33
ANGPTL3,5.7
ATG4C,10.05
FOXD3,4.01
ALG6,8.43
EFCAB7; DLEU2L,7.82
PGM1,8.84
ROR1,10.57
UBE2U,3.91
CACHD1,10.48
RAVER2,11.11
AK4,10.92
DNAJC6,9.22
LEPR; LEPROT,11.75
boyboy; RP4-630A11.3; LEPR,6.43
PDE4B,7.51
SGIP1,4.12
TCTEX1D1,4.83
MIER1,11.55
IL23R,5.07
IL12RB2,4.18
GADD45A,11.36
LRRC7,4.14
SRSF11,13.11
HHLA3,8.76
CTH,7.45
TYW3,11.68
LHX8,6.1
RABGGTB,9.28
MSH4,4.09
ST6GALNAC3,5.67
ST6GALNAC5,7.43
AK5,11.47
FAM73A,10.72
NEXN,13.21
PTGFR,6.54
IFI44L,4.21
IFI44,5.93
ADGRL2,9.63
PRKACB,11.55
SAMD13,6.36
DNASE2B,4.38
RPF1,13.22
SPATA1,5.57
WDR63,5.39
CYR61,11.62
CLCA2,4.22
CLCA1,5.06
CLCA4,3.88
SH3GLB1,12.08
LOC101927844; serfawbu,4.49
LMO4,11.16
PKN2,13.86
flawmawbo; GBP3,5.85
GBP6,4.27
LRRC8B,10.6
ZNF326,11.92
CDC7,11.24
BRDT,9.5
EPHX4,5.41
BTBD8,7.47
KIAA1107,5.55
C1orf146,3.75
RPAP2,10.02
RPL5; SNORD21; SNORA66,16.7
RPL5,9.83
MTF2,13.74
CCDC18,10.26
DR1,13.85
FNBP1L,12.5
FNBP1L,11.7
ABCD3,13.66
ABCD3,7.82
ABCD3,3.93
SLC44A3,6.87
LOC729970; RP4-639F20.1,6.47
RWDD3; TMEM56; TMEM56-RWDD3,9.66
PTBP2,12.42
PTBP2,11.81
SNX7,12.69
PLPPR4,4.58
PALMD,7.12
AGL,9.48
SLC35A3,12.64
MFSD14A,12.96
TRMT13,10.35
RTCA,13.28
CDC14A,11.11
GPR88,3.75
VCAM1,6.65
SLC30A7,12.61
S1PR1,5.87
AMY2A,5.65
AMY1C; AMY1A,5.44
AMY1A; AMY1C,5.13
PRMT6,8.45
NTNG1,5.12
FAM102B,10.86
PRPF38B,11.14
FNDC7,3.96
STXBP3,12.26
GPSM2,10.21
TMEM167B,9.64
KIAA1324,5.26
SARS,11.71
CELSR2,5.4
SYPL2,6.08
ATXN7L2,4.49
CYB561D1,5.36
GPR61,4.94
CSF1,13.5
AHCYL1,13.93
STRIP1,10.16
UBL4B,5.39
SLC6A17,5.24
RBM15,11.97
PROK1,7.21
CD53,5.48
CD53,4.65
CEPT1,11.66
CHI3L2,7.85
CHIA,3.92
PIFO,5.56
ATP5F1,14.66
C1orf162,5.65
RAP1A,12.44
DDX20,9.58
LOC643355; RP11-88H9.2; toyfawbu,7.16
CTTNBP2NL,12.59
WNT2B,6.18
CAPZA1,14.1
MOV10,8.23
FAM19A3,8.96
LRIG2,8.37
MAGI3,8.74
MAGI3,11.46
DCLRE1B,8.93
HIPK1,11.68
HIPK1,6.67
SYCP1,4.03
TSHB,5.34
VANGL1,10.78
SLC22A15,7.93
MAB21L3,5.5
C1orf137,4.19
CD2,4.42
PTGFRN,8.87
CD101,5.99
TTF2,9.13
MAN1A2,12.24
FAM46C,6.01
WDR3,10.83
HAO2,4.22
HSD3B2,5.5
HSD3B1,5.08
PHGDH,11.76
NBPF8,8.51
NBPF26,11.16
PPIAL4A,6.32
FCGR1B,4.52
SRGAP2C,13.61
LOC388692; FAM231D; RP11-403I13.7; RP11-403I13.8,5.34
PPIAL4F,13.73
FAM72D,14.47
GPR89A,11.48
CD160,5.45
POLR3C,12.44
NUDT17,7.27
NUDT4P1; NUDT4P2; NUDT4,13.38
NBPF12,12.09
BCL9,11.39
GJA8,4.23
GPR89B,12.18
NUDT4; NUDT4P1,13.38
PDE4DIP,5.27
PDE4DIP,4.89
PPIAL4C,8.55
FCGR1A,5.3
HIST2H4B; HIST2H4A,12.14
HIST2H2AA3; HIST2H2AA4,14.15
HIST2H3A,9.57
HIST2H2AC,12.4
BOLA1,9.81
VPS45,12.93
CA14,4.57
C1orf54,5.7
CIART,11.47
MRPS21,14.98
PRPF3,14.16
RPRD2,12.57
TARS2; MIR6878,9.29
ECM1,6.08
ADAMTSL4,7.26
SETDB1,10.12
ANXA9,7.12
PRUNE,8.03
BNIPL,5.84
C1orf56,8.41
MLLT11,14.45
GABPB2,8.61
SCNM1; TNFAIP8L2,12.16
PIP5K1A,14.84
PSMD4,13.75
ZNF687,8.02
PSMB4,13.59
CGN,6.08
TUFT1,11.08
SNX27,12.65
RIIAD1,5.38
OAZ3,5.95
CRCT1,3.98
LCE3B,9.06
LCE2D,5.67
LCE2C,5.13
LCE2B,6.11
LCE2A,6.63
LCE4A,8.22
C1orf68,5.52
KPRP,6.27
LCE1F,4.73
LCE1E,14.55
LCE1D,5.27
LCE1A,5.52
LCE6A,5.11
SMCP,4.74
IVL,5.85
SPRR4,6.46
SPRR1A,6.52
SPRR3,4.88
SPRR1B,3.7
LELP1,5.74
PRR9,4.53
LOR,5.46
S100A9,5.89
S100A7A,5.3
LOC101928034; S100A3,4.72
S100A1,8.18
CHTOP,11.17
SNAPIN,8.31
NPR1,5.37
CREB3L4,5.04
RPS27,14.45
UBAP2L,15.62
HAX1,8.64
AQP10,4.92
ATP8B2,10.1
IL6R,7.6
TDRD10,5.5
CHRNB2,5.68
CKS1B,12.89
FLAD1,9.37
LENEP,5.61
ZBTB7B,9.72
EFNA1,6.78
SLC50A1,8.27
TRIM46,6.55
HCN3,5.44
FDPS,13.4
RUSC1,9.35
ASH1L-AS1,7.98
MSTO1; MSTO2P,9.97
DAP3,12.07
SYT11,6.5
RXFP4,5.41
LAMTOR2,9.74
RAB25,4.76
LMNA,12.73
SEMA4A,6.2
SLC25A44,11.73
PMF1; PMF1-BGLAP; BGLAP,11.27
TMEM79,5.98
TSACC,5.84
RHBG,4.38
TTC24,11.54
APOA1BP,11.73
HAPLN2,6.28
BCAN,4.91
RRNAD1,10.08
PRCC,13.28
NTRK1,6.52
PEAR1,8.33
LRRC71,5.24
KIRREL,12.46
CD1D,8.42
CD1A,4.43
CD1C,6.06
CD1E,6.79
OR10K1,4.65
OR10R2,6.5
OR10Z1,4.25
OR6K6,3.67
MNDA,4.24
PYHIN1,6.42
IFI16,12.98
FCER1A,4.93
OR10J4,4.5
OR10J1,4.46
APCS,4.09
DUSP23,8.22
FCRL6,8.23
SLAMF8,5.12
KCNJ9,3.99
ATP1A2,6.33
ATP1A4,6.77
CASQ1,6.69
PEA15,14.11
NCSTN,9.97
NHLH1,6.55
VANGL2,6.19
SLAMF6,3.63
SLAMF7,5.59
LY9,4.83
KLHDC9,5.69
NIT1,9.11
UFC1,14.03
USP21,10.29
PPOX,7.48
NDUFS2,12.02
FCER1G,5.24
TOMM40L; MIR5187,6.87
PCP4L1,8.22
SDHC,11.46
HSPA6,7.12
FCRLA,10.09
FCRLB,6.95
DUSP12,10.09
ATF6,12.26
UHMK1,14.42
UAP1,13.33
DDR2,6.3
HSD17B7,11.08
RGS4,12.72
NUF2,12.3
PBX1,6.7
PBX1,11.28
LRRC52,4.41
MGST3,12.44
MGST3,6.22
UCK2,7.51
POGK,10.29
MAEL,4.17
DUSP27,5.84
POU2F1,13.98
RCSD1,5.49
MPZL1,13.62
DCAF6,13.32
TIPRL,12.59
SFT2D2,11.72
TBX19,6.2
XCL1,4.41
ATP1B1,13.38
BLZF1,13.11
C1orf112,11.28
METTL11B,6.06
GORAB,9.32
PRRX1,5.91
MROH9,4.02
FMO3,8.55
FMO6P,5.28
FMO2,4.59
FMO1,4.52
FMO1,5.14
FMO4,5.2
PRRC2C,13.7
METTL13,10.37
DNM3,7.48
C1orf105,4.52
SUCO,10.44
FASLG,6.49
PRDX6,13.81
LOC730159; RP11-360D2.1,5.81
KLHL20,11.79
DARS2,12.22
ZBTB37,7.55
RABGAP1L,8.7
GPR52,7.6
CACYBP,15.44
TNN,4.53
PAPPA2,4.5
BRINP2,5.62
RASAL2,11.96
RALGPS2,11.96
FAM20B,10.09
TOR3A,7.95
SOAT1,13.7
AXDND1,5.13
TDRD5,3.7
RP11-12M5.1; FAM163A,5.09
FAM163A,6.07
TOR1AIP1,12.88
CEP350,10.39
QSOX1,13.53
LHX4,6.1
XPR1,14.92
KIAA1614,6.97
MR1,8.55
CACNA1E,5.82
LINC00272,5.05
RGSL1,4.47
NPL,6.15
DHX9,12.08
LAMC1,14.13
LAMC2,8.17
SMG7,12.91
RGL1,8.83
TSEN15,7.88
C1orf21,6.46
RNF2,11.4
SWT1,6.47
HMCN1,5.88
PRG4,5.34
C1orf27,12.28
OCLM,8.26
OCLM,10.57
PLA2G4A,5.81
RGS18,4.18
RGS21,5.97
RGS1,4.35
RGS13,5.61
RGS2,9.19
TROVE2,13.42
CDC73,12.47
CFH,10.62
CFHR3,5.77
CFHR4,5.14
CFHR5,4.07
CRB1,6.29
C1orf53,7.89
LHX9,7.87
NEK7,11.33
PTPRC,5.69
NR5A2,13.2
CAMSAP2,13.59
GPR25,5.54
C1orf106,8.03
IGFN1,6.95
PKP1,5.81
IPO9,15.05
SHISA4,7.93
TIMM17A,13.82
RNPEP,12.53
ELF3,6.26
GPR37L1,5.82
LGR6,4.66
PPP1R12B,8.28
MGAT4EP,6.36
TMEM183A,11.78
PPFIA4,7.95
ADORA1,6.39
BTG2,6.41
PRELP,6.3
OPTC,4.75
ATP2B4,12.65
LINC00260,6.52
LAX1,3.9
ZBED6; ZC3H11A,14.51
SNRPE,14.34
SOX13,11.59
NFASC,4.61
CNTN2,7.44
TMCC2,6.3
CDK18,5.62
MFSD4,5.23
C1orf186,5.15
SRGAP2,12.06
IKBKE,8.63
RASSF5,7.4
DYRK3,9.85
MAPKAPK2,11.53
IL19,5.33
IL20,6.13
IL24,5.87
C4BPB,4.84
PFKFB2,7.53
C4BPA,6.73
CD55,14.95
CR2,4.42
CR1,4.21
CR1L,3.76
CD46,13.71
CD46,8.29
MIR205HG; MIR205,6.3
CAMK1G,4.58
G0S2,7.03
HSD11B1,4.53
TRAF3IP3,6.41
DIEXF,12.87
SYT14,5.96
SERTAD4,8.4
HHAT,7.18
RCOR3,9.85
TRAF5,9.69
DTL,14.33
PPP2R5A,12.16
NENF,8.52
ATF3,6.59
FAM71A,4.19
TATDN3,9.76
FLVCR1,12.04
VASH2,8.02
RPS6KC1,10.29
PROX1,5.19
SMYD2,12.15
CENPF,14.88
KCNK2,6.27
KCTD3,10.97
SPATA17,5.6
RRP15,13.02
TGFB2; TGFB2-OT1,16.18
IARS2,13.85
MARK1,4.07
C1orf115,6.41
MARC2,8.83
MARC1,8.35
HLX,4.76
MIA3,12.0
BROX,13.76
FAM177B,6.05
DISP1,8.54
CCDC185,4.76
CAPN2,15.14
FBXO28,13.23
DEGS1,14.1
CNIH4,13.74
CNIH3; RP11-449J1.1,4.15
DNAH14,10.05
SRP9,14.63
EPHX1,11.96
H3F3A; H3F3AP4,15.0
MIXL1,5.97
C1orf95,9.31
PSEN2,8.56
ADCK3,6.7
ZNF678,9.53
ZNF678,5.23
PRSS38,3.44
WNT3A,3.95
ARF1; MIR3620,15.09
GUK1,12.52
GJC2,5.58
IBA57,7.25
OBSCN,5.63
HIST3H2BB,7.25
RNF187,10.17
TMEM78,3.52
RAB4A; SPHAR,11.99
URB2,10.01
GALNT2,10.46
COG2,11.08
CAPN9,4.24
ARV1,13.41
TRIM67,5.25
GNPAT,13.46
SPRTN,12.56
MAP10,5.75
NTPCR,9.31
KIAA1804; MLK4,9.03
KCNK1,6.24
KCNK1,5.58
SLC35F3,6.95
COA6,11.5
GGPS1,10.83
TBCE,11.07
GPR137B,11.43
EDARADD,8.82
LGALS8,14.01
ACTN2,7.57
MTR,10.61
RYR2,3.91
FMN2; ADH5P3,9.68
KMO,7.22
WDR64,3.38
EXO1,12.69
BECN2,5.2
SDCCAG8,10.6
ZBTB18,10.58
C1orf100,4.97
C1orf101,7.32
DESI2,12.73
COX20,13.86
EFCAB2,9.31
KIF26B,6.19
CNST,9.38
SCCPDH,11.45
VN1R5,4.29
NLRP3,5.39
OR2W5,5.04
GCSAML,5.12
OR2G2,5.06
OR2G3,4.5
TRIM58,8.83
OR2W3,8.89
OR2T8,6.82
OR2L13,4.24
OR2L8,3.59
OR2AK2,5.66
OR2L5,3.4
OR2L2,4.29
OR2L3,5.22
OR2M5,4.45
OR2M2,5.83
OR2M3,4.56
OR2M4,5.56
OR14C36,4.13
OR2T4,3.77
OR2T6,5.03
OR2T1,4.29
OR2T2,7.62
OR2T3,7.0
OR2T5,5.65
OR2G6,5.4
ZNF672,9.77
PGBD2,7.0
OR4F29; OR4F3; OR4F16,5.42
OR4F16; OR4F29,5.42
NOC2L,11.06
PERM1,5.91
HES4,6.82
RNF223,8.42
C1orf159,7.52
TNFRSF18,7.92
TNFRSF4,4.13
SDF4,10.46
FAM132A,5.92
UBE2J2,9.24
UBE2J2,7.2
ACAP3,8.22
CPSF3L; MIR6727,10.33
DVL1; MIR6808,7.98
MXRA8,5.13
AURKAIP1,9.93
CCNL2,11.85
MRPL20,12.73
ANKRD65,6.2
TMEM240,5.59
SSU72,12.22
C1orf233,6.07
NADK,9.27
GNB1,15.01
TMEM52,10.15
CFAP74,5.64
MORN1,9.6
PEX10,7.77
PANK4,8.69
HES5,5.82
LOC115110; RP3-395M20.8,9.06
FAM213B,4.74
MMEL1,5.5
LINC00982,4.35
MEGF6,5.88
WRAP73,6.5
TP73-AS1,6.04
LRRC47,11.11
CEP104,12.18
C1orf174,8.3
NPHP4,4.98
CHD5,4.12
RPL22,16.39
ICMT,13.01
GPR153,8.04
ACOT7,10.61
HES2,4.67
NOL9,10.74
KLHL21,7.13
DNAJC11,12.26
DNAJC11,7.09
UTS2,3.72
TNFRSF9,7.82
RERE,8.93
ENO1,16.13
SLC2A7,5.35
SLC2A5,5.72
GPR157,7.83
PIK3CD-AS1,5.55
PIK3CD-AS2,5.5
CLSTN1,10.13
CTNNBIP1,7.15
LZIC,10.85
DFFA,12.15
CASZ1,8.09
C1orf127,4.26
MASP2,5.02
SRM,13.44
EXOSC10,11.81
MTOR,10.24
FBXO2,9.93
MAD2L2,11.08
MTHFR,6.75
NPPA,4.88
NPPB,6.24
KIAA2013,9.42
DHRS3; MIR6730,11.96
PRAMEF11,4.35
PRAMEF4,5.28
PRAMEF10,4.7
HNRNPCL2,5.52
HNRNPCL4,7.17
PRAMEF13,5.73
PRAMEF18,5.29
PRAMEF8,4.34
PRAMEF14,4.08
PRAMEF19,4.31
LRRC38,5.86
C1orf195,5.52
CASP9,6.24
AGMAT,5.53
UQCRHL,7.93
ZBTB17,6.54
HSPB7,5.55
FAM131C,5.58
EPHA2,11.07
ARHGEF19,7.02
RSG1,4.8
FBXO42,7.67
SPATA21,4.58
NBPF1,13.47
FAM231A; FAM231C; RP5-1182A14.6,6.57
MST1L,4.63
MFAP2,4.69
ATP13A2,7.77
SDHB,11.44
PADI2,10.36
RCC2,13.51
UBR4,12.26
EMC1,7.39
AKR7L,6.65
AKR7A3,6.07
AKR7A2,7.41
CAPZB,15.01
TMCO4,6.09
RNF186,4.76
PLA2G2E,6.58
PLA2G2A,4.79
PLA2G2D,6.77
PLA2G2C,4.63
CAMK2N1,7.8
MUL1,10.09
KIF17,5.11
SH2D5,7.21
HP1BP3,12.64
EIF4G3,13.71
ECE1,11.65
RAP1GAP,4.73
USP48,12.32
HSPG2,7.41
WNT4,4.95
LACTBL1,6.49
C1orf234,6.15
LUZP1,11.07
HTR1D,7.99
ZNF436,8.54
TCEA3,6.14
ASAP3,9.3
E2F2,7.37
ID3,11.09
GALE,6.95
HMGCL,8.5
FUCA1,8.17
CNR2,4.74
SRSF10,14.1
MYOM3,4.42
IL22RA1,7.53
IFNLR1,6.28
STPG1,10.66
RUNX3,7.54
SYF2,11.24
RSRP1,10.28
RHCE,5.81
AUNIP,8.81
PAQR7,6.79
STMN1; MIR3917,15.11
PAFAH2,9.15
SLC30A2,6.32
TRIM63,5.37
UBXN11,6.15
AIM1L,6.45
ZNF683,4.51
GPN2,8.47
GPATCH3,8.21
NR0B2,6.43
KDF1,6.59
FAM46B,5.85
SLC9A1,8.38
MAP3K6,6.42
FCN3,6.6
CD164L2,3.47
WASF2,12.46
AHDC1,8.4
FGR,7.45
IFI6,9.23
RPA2,9.38
EYA3,8.6
SPCS2,11.32
PTAFR,5.59
DNAJC8,13.84
TAF12,9.66
TMEM200B,8.37
SRSF4,13.52
MECR,6.24
MATN1,4.98
LAPTM5,4.96
SDC3,7.38
PUM1,13.33
NKAIN1,5.93
SNRNP40,9.69
FABP3,5.85
PEF1,5.81
COL16A1,6.93
ADGRB2,4.1
SPOCD1,6.12
PTP4A2,15.06
TMEM234,7.51
MARCKSL1,9.66
FAM229A,5.07
BSDC1,8.21
ZBTB8OS,11.21
SYNC,9.32
YARS,12.1
YARS,7.02
FNDC5,8.25
TMEM54,8.95
RNF19B,10.31
AK2,11.47
TRIM62,6.12
A3GALT2,4.39
PHC2; MIR3605,8.51
CSMD2,4.85
DLGAP3,6.29
ZMYM6NB; ZMYM6,10.83
KIAA0319L,12.32
RP4-728D4.2; PSMB2,5.18
PSMB2,13.94
C1orf216,6.9
CLSPN,11.44
COL8A2,3.99
TRAPPC3,10.3
EVA1B,4.39
STK40,9.48
LSM10,7.93
OSCP1,7.2
MRPS15,11.2
CSF3R,5.06
GRIK3,3.79
MEAF6,10.48
SNIP1,10.05
GNL2,12.59
RSPO1,8.06
C1orf109,9.92
EPHA10,4.41
YRDC,11.6
MTF1,11.69
INPP5B,9.77
SF3A3,13.51
FHL3,9.68
POU3F1,4.54
LINC01343,4.43
RHBDL2,4.22
PABPC4,12.52
HEYL,5.83
HEYL,6.77
NT5C1A,5.35
HPCAL4,6.77
BMP8B,3.91
OXCT2,6.84
TRIT1,10.78
MYCL,5.83
PPT1,12.12
COL9A2,5.23
RIMS3,5.61
CITED4,10.2
SLFNL1,6.48
SCMH1,10.26
EDN2,5.09
HIVEP3,6.25
GUCA2A,6.04
FOXJ3,13.39
ZMYND12,4.6
CLDN19,6.28
P3H1,10.79
SVBP,6.85
SLC2A1,13.17
C1orf210,6.97
ELOVL1; MIR6734,13.05
MED8,10.36
HYI,9.33
B4GALT2,12.03
SLC6A9,10.67
ERI3; ERI3-IT1,10.05
RNF220,9.56
TMEM53,6.64
BEST4,3.86
TCTEX1D4,5.76
PTCH2,7.24
EIF2B3,11.51
HECTD3,11.51
ZSWIM5,4.35
MUTYH,7.87
TESK2,4.48
CCDC163P,7.19
PRDX1,15.08
CCDC17,7.47
GPBP1L1,11.47
IPP,9.26
PIK3R3,10.82
POMGNT1,9.62
LRRC41,10.87
KNCN,7.79
ATPAF1,9.45
EFCAB14,11.35
CYP4A11,4.94
PDZK1IP1,6.03
TRABD2B,4.53
SPATA6,8.29
AGBL4,3.73
BEND5,7.95
DMRTA2,5.01
FAF1,12.38
TTC39A,5.19
EPS15,12.29
NRDC; MIR761,12.77
RAB3B,13.15
TXNDC12; KTI12,13.55
CC2D1B,6.77
ORC1,10.42
ZCCHC11,9.41
COA7,11.83
ECHDC2,11.18
SCP2,11.85
SLC1A7,5.45
C1orf123,13.41
MAGOH,13.29
LRP8,10.97
GLIS1,5.64
NDC1,12.77
YIPF1,7.89
HSPB11,12.73
LDLRAD1,6.21
TMEM59,12.28
SSBP3,8.5
FAM151A,4.31
PARS2,7.4
TTC22,5.08
DHCR24,12.34
USP24,12.6
USP24,8.03
USP24,5.29
PPAP2B,7.5
C1orf168,5.88
C8B,5.22
TACSTD2,4.53
MYSM1,13.08
JUN,11.97
CYP2J2,6.56
C1orf87,5.05
TM2D1,11.61
TM2D1,6.54
KANK4,4.69
DOCK7,12.04
ITGB3BP,11.52
ROR1-AS1,5.99
JAK1,13.59
LINC01359,6.38
INSL5,4.27
WDR78,7.71
SLC35D1,10.77
C1orf141,4.85
SERBP1,15.37
GNG12,14.28
DIRAS3,3.6
WLS,11.18
WLS,10.93
RPE65,4.83
DEPDC1,12.71
LRRC40,11.83
ANKRD13C,11.56
PTGER3,3.91
