gene,value
HMGN2,15.05
RPS6KA1,7.34
RPS6KA1,6.14
ARID1A,11.72
PIGV,6.04
ZDHHC18,10.94
SFN,8.89
NUDC,11.73
TRNP1,10.13
WDTC1,10.58
TMEM222,9.26
SYTL1,5.71
GPR3,7.59
WASF2,4.02
FAM76A,8.84
STX12,12.09
PPP1R8,10.25
THEMIS2,4.04
SMPDL3B,8.52
XKR8,8.57
ATPIF1,11.77
SESN2,7.2
MED18,8.28
PHACTR4,11.52
RCC1; SNORA73A; SNHG3; SNORA73B,9.34
TRNAU1AP,7.24
RAB42,6.06
GMEB1,8.71
YTHDF2,11.72
OPRD1,5.49
EPB41,11.17
EPB41,7.99
PTPRU,6.01
ZCCHC17,11.84
SERINC2,7.92
LINC01225,6.3
TINAGL1,6.16
HCRTR1,4.89
KHDRBS1,12.73
TMEM39B,7.13
KPNA6,12.58
KPNA6,7.72
TXLNA,10.54
CCDC28B,6.53
IQCC,7.16
DCDC2B,5.32
EIF3I,12.71
FAM167B,5.47
LCK,4.23
HDAC1,12.74
RBBP4,11.35
KIAA1522,7.96
S100PBP,10.89
HPCA,7.79
RNF19B,4.49
AZIN2,8.18
ZNF362,10.14
ZSCAN20,7.06
HMGB4,4.51
C1orf94,5.32
GJB5,6.08
GJB4,5.07
GJB3,4.02
GJA4,5.7
ZMYM1,11.49
ZMYM4,11.48
NCDN,6.99
TFAP2E,4.87
AGO4,7.59
AGO1,9.7
AGO3,11.5
TEKT2,3.72
ADPRHL2,5.92
MAP7D1,12.55
THRAP3,13.19
THRAP3,8.83
CSF3R,3.78
ZC3H12A; MIR6732,8.58
DNALI1,7.63
CDCA8,10.85
MANEAL,9.03
C1orf122,7.18
UTP11L,12.44
RRAGC,5.13
AKIRIN1,10.32
NDUFS5,13.39
MACF1; KIAA0754,14.9
BMP8A,4.76
OXCT2P1,6.76
PPIE,9.46
PPIE,7.81
MFSD2A,9.49
CAP1,16.12
RLF,12.26
TMCO2,4.3
ZMPSTE24,13.27
SMAP2,11.56
ZFP69B,6.98
ZFP69,7.1
EXO5,7.04
ZNF684,8.96
NFYC,10.87
KCNQ4,6.01
CTPS1,12.37
FOXO6,5.74
GUCA2B,5.1
RIMKLA,7.06
PPIH,8.99
YBX1,16.13
YBX1,8.37
ERMAP,7.32
ZNF691,5.28
CFAP57,3.88
TMEM125,5.42
TIE1,6.45
MPL,3.85
CDC20,13.19
SZT2,10.69
PTPRF,9.49
KDM4A,8.78
ST3GAL3; MIR6079,8.15
ARTN,5.94
IPO13,8.27
DPH2,10.75
ATP6V0B,11.46
B4GALT2,10.24
CCDC24,6.44
KLF17,6.61
DMAP1,8.45
RNF220,12.02
C1orf228,6.03
KIF2C,11.95
KIF2C,7.02
RPS8; SNORD55; SNORD46; SNORD38A; SNORD38B,14.14
PLK3,5.89
BTBD19,5.79
UROD,11.68
HPDL,4.08
TOE1,10.39
MMACHC,9.54
AKR1A1,8.72
NASP,13.34
NASP,5.74
NASP,5.16
TMEM69,11.56
MAST2,9.69
TSPAN1,5.94
LURAP1,6.51
RAD54L,8.51
RAD54L,6.25
UQCRH,11.72
NSUN4,10.57
FAAH,5.48
DMBX1,5.94
TEX38,4.67
CYP4X1,3.83
CYP4Z1,4.39
CYP4A22,3.92
CMPK1,11.83
FOXE3,5.18
FOXD2,5.0
SLC5A9,3.8
ELAVL4,3.8
CDKN2C,9.91
C1orf185,5.91
RNF11,11.87
OSBPL9,14.33
BTF3L4,13.25
ZFYVE9,8.77
PRPF38A,12.77
GPX7,5.98
FAM159A,4.4
ZYG11B,11.3
ZYG11A,9.46
SCP2,14.57
PODN,6.47
PODN,3.39
CPT2,7.34
DMRTB1,5.82
DIO1,5.22
LRRC42,9.35
TCEANC2; MIR4781,7.69
MRPL37,13.58
ACOT11,4.48
MROH7; TTC4; MROH7-TTC4,5.27
LEXM,4.31
RP11-67L3.5; RP11-67L3.4; TMEM61,5.6
TMEM61,7.26
BSND,5.53
PCSK9,6.91
PRKAA2,8.75
C8A,4.05
FGGY,6.79
HOOK1,9.88
NFIA,10.64
INADL,8.5
L1TD1,4.13
USP1,13.95
ANGPTL3,5.93
ATG4C,10.38
FOXD3,3.88
ALG6,8.31
EFCAB7; DLEU2L,8.23
PGM1,9.79
ROR1,12.42
UBE2U,3.92
CACHD1,10.37
RAVER2,11.44
AK4,11.14
DNAJC6,8.48
LEPR; LEPROT,10.69
boyboy; RP4-630A11.3; LEPR,6.06
PDE4B,8.53
SGIP1,4.26
TCTEX1D1,5.17
MIER1,11.63
IL23R,5.41
IL12RB2,3.74
GADD45A,11.81
LRRC7,4.07
SRSF11,13.01
HHLA3,8.63
CTH,6.8
TYW3,11.74
LHX8,6.13
RABGGTB,9.28
MSH4,4.14
ST6GALNAC3,5.95
ST6GALNAC5,8.25
AK5,12.14
FAM73A,11.01
NEXN,13.11
PTGFR,8.52
IFI44L,4.8
IFI44,7.95
ADGRL2,10.79
PRKACB,11.59
SAMD13,6.24
DNASE2B,4.12
RPF1,12.88
SPATA1,5.88
WDR63,5.35
CYR61,10.67
CLCA2,4.01
CLCA1,5.1
CLCA4,3.94
SH3GLB1,12.17
LOC101927844; serfawbu,4.64
LMO4,12.22
PKN2,13.72
flawmawbo; GBP3,5.66
GBP6,4.25
LRRC8B,10.71
ZNF326,11.42
CDC7,11.03
BRDT,9.24
EPHX4,5.27
BTBD8,7.88
KIAA1107,6.31
C1orf146,3.35
RPAP2,9.92
RPL5; SNORD21; SNORA66,16.67
RPL5,9.8
MTF2,13.01
CCDC18,9.75
DR1,13.88
FNBP1L,12.73
FNBP1L,11.62
ABCD3,13.93
ABCD3,7.65
ABCD3,3.56
SLC44A3,7.04
LOC729970; RP4-639F20.1,6.57
RWDD3; TMEM56; TMEM56-RWDD3,9.86
PTBP2,12.56
PTBP2,11.63
SNX7,12.81
PLPPR4,4.71
PALMD,7.12
AGL,9.86
SLC35A3,12.88
MFSD14A,13.09
TRMT13,10.43
RTCA,13.13
CDC14A,9.93
GPR88,3.85
VCAM1,7.53
SLC30A7,12.59
S1PR1,6.16
AMY2A,5.69
AMY1C; AMY1A,6.16
AMY1A; AMY1C,5.47
PRMT6,8.28
NTNG1,4.69
FAM102B,11.19
PRPF38B,10.65
FNDC7,4.09
STXBP3,12.1
GPSM2,10.31
TMEM167B,9.4
KIAA1324,5.69
SARS,12.27
CELSR2,5.98
SYPL2,5.96
ATXN7L2,4.6
CYB561D1,5.11
GPR61,5.34
CSF1,14.48
AHCYL1,13.78
STRIP1,10.28
UBL4B,5.32
SLC6A17,5.01
RBM15,11.94
PROK1,7.01
CD53,5.63
CD53,4.47
CEPT1,11.74
CHI3L2,9.3
CHIA,4.15
PIFO,5.22
ATP5F1,14.74
C1orf162,5.47
RAP1A,12.76
DDX20,9.25
LOC643355; RP11-88H9.2; toyfawbu,7.19
CTTNBP2NL,12.26
WNT2B,6.13
CAPZA1,13.97
MOV10,8.36
FAM19A3,9.02
LRIG2,8.13
MAGI3,9.06
MAGI3,11.34
DCLRE1B,8.71
HIPK1,12.1
HIPK1,6.54
SYCP1,3.97
TSHB,5.52
VANGL1,11.44
SLC22A15,8.75
MAB21L3,4.98
C1orf137,4.21
CD2,4.6
PTGFRN,10.97
CD101,6.36
TTF2,8.83
MAN1A2,12.3
FAM46C,5.48
WDR3,10.73
HAO2,4.0
HSD3B2,5.5
HSD3B1,4.97
PHGDH,11.34
NBPF8,8.72
NBPF26,11.22
PPIAL4A,6.55
FCGR1B,4.29
SRGAP2C,13.01
LOC388692; FAM231D; RP11-403I13.7; RP11-403I13.8,5.46
PPIAL4F,13.52
FAM72D,13.85
GPR89A,11.07
CD160,5.55
POLR3C,12.19
NUDT17,6.99
NUDT4P1; NUDT4P2; NUDT4,14.1
NBPF12,12.24
BCL9,11.64
GJA8,4.02
GPR89B,12.02
NUDT4; NUDT4P1,14.1
PDE4DIP,5.61
PDE4DIP,4.88
PPIAL4C,8.2
FCGR1A,5.7
HIST2H4B; HIST2H4A,11.45
HIST2H2AA3; HIST2H2AA4,13.52
HIST2H3A,9.34
HIST2H2AC,12.31
BOLA1,9.89
VPS45,13.09
CA14,4.42
C1orf54,5.73
CIART,11.1
MRPS21,14.79
PRPF3,13.61
RPRD2,11.94
TARS2; MIR6878,9.46
ECM1,5.54
ADAMTSL4,7.11
SETDB1,10.34
ANXA9,7.35
PRUNE,7.32
BNIPL,5.72
C1orf56,8.58
MLLT11,14.07
GABPB2,8.96
SCNM1; TNFAIP8L2,11.95
PIP5K1A,14.01
PSMD4,13.79
ZNF687,8.63
PSMB4,13.93
CGN,5.79
TUFT1,11.29
SNX27,12.86
RIIAD1,5.94
OAZ3,5.66
CRCT1,3.89
LCE3B,8.83
LCE2D,5.68
LCE2C,4.74
LCE2B,6.19
LCE2A,5.84
LCE4A,8.41
C1orf68,5.76
KPRP,6.35
LCE1F,4.66
LCE1E,14.67
LCE1D,5.3
LCE1A,5.55
LCE6A,5.34
SMCP,4.31
IVL,5.7
SPRR4,6.68
SPRR1A,6.32
SPRR3,5.16
SPRR1B,3.5
LELP1,5.32
PRR9,4.57
LOR,5.72
S100A9,6.07
S100A7A,4.88
LOC101928034; S100A3,4.82
S100A1,7.89
CHTOP,11.37
SNAPIN,8.12
NPR1,5.47
CREB3L4,4.8
RPS27,14.47
UBAP2L,15.72
HAX1,8.45
AQP10,4.96
ATP8B2,9.79
IL6R,7.35
TDRD10,5.41
CHRNB2,5.81
CKS1B,12.54
FLAD1,9.55
LENEP,5.99
ZBTB7B,10.08
EFNA1,7.86
SLC50A1,7.95
TRIM46,6.83
HCN3,5.31
FDPS,13.57
RUSC1,9.09
ASH1L-AS1,7.84
MSTO1; MSTO2P,9.92
DAP3,11.73
SYT11,5.98
RXFP4,4.99
LAMTOR2,9.62
RAB25,5.01
LMNA,12.92
SEMA4A,6.21
SLC25A44,11.45
PMF1; PMF1-BGLAP; BGLAP,11.08
TMEM79,6.01
TSACC,6.45
RHBG,3.93
TTC24,11.56
APOA1BP,11.93
HAPLN2,6.25
BCAN,4.82
RRNAD1,10.18
PRCC,13.26
NTRK1,6.73
PEAR1,7.64
LRRC71,5.24
KIRREL,13.02
CD1D,8.04
CD1A,4.37
CD1C,6.11
CD1E,6.75
OR10K1,4.64
OR10R2,6.37
OR10Z1,3.94
OR6K6,3.17
MNDA,4.49
PYHIN1,6.5
IFI16,14.52
FCER1A,4.87
OR10J4,4.37
OR10J1,4.35
APCS,4.01
DUSP23,8.71
FCRL6,8.28
SLAMF8,5.46
KCNJ9,4.35
ATP1A2,7.12
ATP1A4,6.69
CASQ1,6.62
PEA15,14.0
NCSTN,10.21
NHLH1,6.81
VANGL2,6.18
SLAMF6,3.86
SLAMF7,5.52
LY9,4.62
KLHDC9,5.5
NIT1,8.84
UFC1,14.18
USP21,10.1
PPOX,7.53
NDUFS2,12.05
FCER1G,5.31
TOMM40L; MIR5187,6.57
PCP4L1,8.39
SDHC,11.65
HSPA6,7.07
FCRLA,10.03
FCRLB,7.55
DUSP12,9.63
ATF6,12.24
UHMK1,13.49
UAP1,13.18
DDR2,5.99
HSD17B7,11.81
RGS4,11.35
NUF2,11.88
PBX1,6.52
PBX1,10.79
LRRC52,4.26
MGST3,13.07
MGST3,6.13
UCK2,7.14
POGK,10.26
MAEL,4.52
DUSP27,6.09
POU2F1,13.38
RCSD1,5.57
MPZL1,13.77
DCAF6,12.98
TIPRL,12.7
SFT2D2,12.16
TBX19,5.83
XCL1,4.64
ATP1B1,13.22
BLZF1,12.88
C1orf112,11.3
METTL11B,5.94
GORAB,9.06
PRRX1,5.92
MROH9,3.62
FMO3,10.77
FMO6P,5.49
FMO2,4.33
FMO1,4.38
FMO1,5.61
FMO4,5.39
PRRC2C,13.67
METTL13,10.25
DNM3,6.86
C1orf105,4.9
SUCO,9.51
FASLG,6.16
PRDX6,13.74
LOC730159; RP11-360D2.1,5.38
KLHL20,11.65
DARS2,12.06
ZBTB37,7.34
RABGAP1L,9.14
GPR52,7.83
CACYBP,15.37
TNN,4.31
PAPPA2,4.69
BRINP2,5.81
RASAL2,11.83
RALGPS2,10.67
FAM20B,9.82
TOR3A,7.71
SOAT1,14.27
AXDND1,5.15
TDRD5,3.53
RP11-12M5.1; FAM163A,5.12
FAM163A,6.51
TOR1AIP1,12.82
CEP350,10.55
QSOX1,13.64
LHX4,5.73
XPR1,14.58
KIAA1614,7.15
MR1,8.91
CACNA1E,5.58
LINC00272,5.38
RGSL1,4.72
NPL,6.61
DHX9,11.97
LAMC1,14.19
LAMC2,7.75
SMG7,12.95
RGL1,8.66
TSEN15,7.57
C1orf21,6.83
RNF2,10.99
SWT1,6.14
HMCN1,5.4
PRG4,4.78
C1orf27,11.8
OCLM,7.66
OCLM,10.03
PLA2G4A,5.83
RGS18,4.46
RGS21,5.8
RGS1,4.26
RGS13,5.28
RGS2,8.11
TROVE2,13.02
CDC73,11.56
CFH,12.7
CFHR3,5.83
CFHR4,5.29
CFHR5,3.6
CRB1,6.37
C1orf53,8.2
LHX9,7.17
NEK7,11.86
PTPRC,5.6
NR5A2,12.42
CAMSAP2,13.53
GPR25,5.69
C1orf106,9.22
IGFN1,7.3
PKP1,7.24
IPO9,15.19
SHISA4,7.62
TIMM17A,13.63
RNPEP,12.1
ELF3,6.26
GPR37L1,6.1
LGR6,5.4
PPP1R12B,7.69
MGAT4EP,6.23
TMEM183A,11.61
PPFIA4,8.25
ADORA1,9.48
BTG2,6.75
PRELP,6.51
OPTC,4.8
ATP2B4,14.26
LINC00260,6.82
LAX1,3.55
ZBED6; ZC3H11A,14.45
SNRPE,14.3
SOX13,11.2
NFASC,4.4
CNTN2,7.34
TMCC2,6.42
CDK18,6.14
MFSD4,5.43
C1orf186,5.33
SRGAP2,11.7
IKBKE,8.84
RASSF5,7.43
DYRK3,10.6
MAPKAPK2,11.92
IL19,4.96
IL20,6.15
IL24,5.6
C4BPB,4.64
PFKFB2,8.09
C4BPA,7.18
CD55,14.97
CR2,4.45
CR1,4.13
CR1L,3.83
CD46,13.54
CD46,8.25
MIR205HG; MIR205,6.81
CAMK1G,4.49
G0S2,7.29
HSD11B1,4.64
TRAF3IP3,7.42
DIEXF,12.74
SYT14,5.44
SERTAD4,7.3
HHAT,8.73
RCOR3,9.99
TRAF5,10.3
DTL,13.84
PPP2R5A,11.95
NENF,8.51
ATF3,6.91
FAM71A,4.67
TATDN3,9.85
FLVCR1,11.33
VASH2,7.76
RPS6KC1,10.33
PROX1,7.71
SMYD2,12.53
CENPF,14.91
KCNK2,6.95
KCTD3,10.91
SPATA17,5.88
RRP15,12.78
TGFB2; TGFB2-OT1,16.68
IARS2,13.94
MARK1,4.27
C1orf115,6.3
MARC2,9.06
MARC1,8.05
HLX,4.49
MIA3,12.0
BROX,14.12
FAM177B,5.54
DISP1,8.5
CCDC185,4.92
CAPN2,15.2
FBXO28,13.05
DEGS1,14.1
CNIH4,13.88
CNIH3; RP11-449J1.1,4.31
DNAH14,10.12
SRP9,14.56
EPHX1,12.09
H3F3A; H3F3AP4,14.8
MIXL1,5.79
C1orf95,9.18
PSEN2,8.57
ADCK3,7.21
ZNF678,9.49
ZNF678,5.44
PRSS38,3.52
WNT3A,4.11
ARF1; MIR3620,14.85
GUK1,12.67
GJC2,5.81
IBA57,6.99
OBSCN,5.88
HIST3H2BB,5.87
RNF187,10.05
TMEM78,3.56
RAB4A; SPHAR,12.25
URB2,9.43
GALNT2,10.72
COG2,10.74
CAPN9,4.1
ARV1,13.25
TRIM67,5.13
GNPAT,13.38
SPRTN,12.11
MAP10,5.83
NTPCR,9.96
KIAA1804; MLK4,8.93
KCNK1,6.18
KCNK1,5.47
SLC35F3,7.05
COA6,11.7
GGPS1,11.66
TBCE,10.91
GPR137B,11.35
EDARADD,9.33
LGALS8,12.89
ACTN2,8.26
MTR,10.72
RYR2,3.92
FMN2; ADH5P3,9.59
KMO,9.74
WDR64,3.74
EXO1,12.21
BECN2,4.89
SDCCAG8,9.93
ZBTB18,10.58
C1orf100,4.77
C1orf101,7.09
DESI2,12.41
COX20,13.74
EFCAB2,9.67
KIF26B,8.73
CNST,8.83
SCCPDH,11.67
VN1R5,4.4
NLRP3,4.88
OR2W5,4.92
GCSAML,5.12
OR2G2,4.44
OR2G3,4.4
TRIM58,8.87
OR2W3,8.77
OR2T8,6.97
OR2L13,4.15
OR2L8,3.66
OR2AK2,5.71
OR2L5,3.35
OR2L2,4.14
OR2L3,5.05
OR2M5,4.13
OR2M2,5.51
OR2M3,4.9
OR2M4,5.51
OR14C36,4.1
OR2T4,4.21
OR2T6,5.26
OR2T1,4.64
OR2T2,7.25
OR2T3,6.52
OR2T5,5.85
OR2G6,5.31
ZNF672,9.68
PGBD2,7.17
OR4F29; OR4F3; OR4F16,5.02
OR4F16; OR4F29,5.02
NOC2L,11.2
PERM1,6.3
HES4,7.35
RNF223,8.33
C1orf159,7.9
TNFRSF18,8.25
TNFRSF4,4.15
SDF4,11.01
FAM132A,6.13
UBE2J2,9.34
UBE2J2,7.43
ACAP3,7.97
CPSF3L; MIR6727,10.18
DVL1; MIR6808,7.94
MXRA8,5.1
AURKAIP1,9.64
CCNL2,11.72
MRPL20,12.97
ANKRD65,6.54
TMEM240,5.52
SSU72,12.26
C1orf233,6.5
NADK,9.57
GNB1,14.98
TMEM52,10.06
CFAP74,5.84
MORN1,9.73
PEX10,7.5
PANK4,8.19
HES5,5.77
LOC115110; RP3-395M20.8,8.51
FAM213B,5.34
MMEL1,5.26
LINC00982,4.63
MEGF6,5.81
WRAP73,6.4
TP73-AS1,5.87
LRRC47,11.23
CEP104,12.65
C1orf174,8.29
NPHP4,5.75
CHD5,4.34
RPL22,16.36
ICMT,12.96
GPR153,8.25
ACOT7,10.33
HES2,4.28
NOL9,10.7
KLHL21,7.73
DNAJC11,12.01
DNAJC11,6.98
UTS2,3.61
TNFRSF9,9.26
RERE,9.4
ENO1,16.28
SLC2A7,5.08
SLC2A5,5.78
GPR157,8.64
PIK3CD-AS1,5.52
PIK3CD-AS2,5.39
CLSTN1,10.92
CTNNBIP1,7.25
LZIC,10.91
DFFA,11.86
CASZ1,9.04
C1orf127,4.06
MASP2,5.29
SRM,13.13
EXOSC10,11.9
MTOR,10.46
FBXO2,9.89
MAD2L2,11.45
MTHFR,7.14
NPPA,4.39
NPPB,6.28
KIAA2013,9.37
DHRS3; MIR6730,10.97
PRAMEF11,4.65
PRAMEF4,5.7
PRAMEF10,5.27
HNRNPCL2,5.43
HNRNPCL4,6.62
PRAMEF13,5.53
PRAMEF18,5.24
PRAMEF8,4.18
PRAMEF14,3.95
PRAMEF19,4.21
LRRC38,6.41
C1orf195,5.47
CASP9,6.37
AGMAT,5.91
UQCRHL,7.91
ZBTB17,6.68
HSPB7,5.63
FAM131C,5.3
EPHA2,10.38
ARHGEF19,7.1
RSG1,4.95
FBXO42,7.64
SPATA21,4.82
NBPF1,13.67
FAM231A; FAM231C; RP5-1182A14.6,6.77
MST1L,4.67
MFAP2,4.71
ATP13A2,9.42
SDHB,12.01
PADI2,9.33
RCC2,13.05
UBR4,12.31
EMC1,7.41
AKR7L,7.07
AKR7A3,6.1
AKR7A2,7.52
CAPZB,15.24
TMCO4,6.41
RNF186,4.9
PLA2G2E,6.9
PLA2G2A,5.22
PLA2G2D,7.2
PLA2G2C,4.7
CAMK2N1,7.28
MUL1,10.12
KIF17,4.84
SH2D5,7.36
HP1BP3,12.62
EIF4G3,13.71
ECE1,11.95
RAP1GAP,4.51
USP48,12.34
HSPG2,7.3
WNT4,5.23
LACTBL1,6.17
C1orf234,6.09
LUZP1,11.64
HTR1D,11.42
ZNF436,8.47
TCEA3,6.09
ASAP3,9.48
E2F2,6.84
ID3,11.05
GALE,6.88
HMGCL,8.53
FUCA1,8.6
CNR2,4.75
SRSF10,14.12
MYOM3,4.69
IL22RA1,7.66
IFNLR1,6.24
STPG1,10.36
RUNX3,11.18
SYF2,11.48
RSRP1,10.24
RHCE,5.52
AUNIP,8.37
PAQR7,7.01
STMN1; MIR3917,14.85
PAFAH2,8.93
SLC30A2,6.27
TRIM63,5.66
UBXN11,6.45
AIM1L,6.35
ZNF683,4.49
GPN2,8.6
GPATCH3,7.92
NR0B2,6.47
KDF1,6.49
FAM46B,5.94
SLC9A1,8.48
MAP3K6,6.67
FCN3,7.12
CD164L2,3.49
WASF2,12.88
AHDC1,8.61
FGR,7.43
IFI6,8.91
RPA2,9.02
EYA3,7.91
SPCS2,11.55
PTAFR,5.41
DNAJC8,13.94
TAF12,9.06
TMEM200B,8.46
SRSF4,13.38
MECR,6.27
MATN1,4.82
LAPTM5,4.36
SDC3,7.41
PUM1,13.27
NKAIN1,6.12
SNRNP40,9.14
FABP3,5.56
PEF1,6.14
COL16A1,7.11
ADGRB2,4.08
SPOCD1,6.61
PTP4A2,15.01
TMEM234,7.81
MARCKSL1,9.86
FAM229A,5.14
BSDC1,9.36
ZBTB8OS,11.6
SYNC,10.36
YARS,12.57
YARS,7.03
FNDC5,8.31
TMEM54,9.18
RNF19B,10.26
AK2,11.02
TRIM62,6.37
A3GALT2,4.76
PHC2; MIR3605,8.64
CSMD2,4.53
DLGAP3,6.19
ZMYM6NB; ZMYM6,10.7
KIAA0319L,12.53
RP4-728D4.2; PSMB2,5.24
PSMB2,14.14
C1orf216,7.19
CLSPN,11.2
COL8A2,3.76
TRAPPC3,10.58
EVA1B,4.29
STK40,9.74
LSM10,8.26
OSCP1,7.11
MRPS15,11.56
CSF3R,4.83
GRIK3,3.76
MEAF6,10.23
SNIP1,9.88
GNL2,12.41
RSPO1,8.18
C1orf109,9.79
EPHA10,4.36
YRDC,10.64
MTF1,10.97
INPP5B,8.69
SF3A3,12.96
FHL3,9.59
POU3F1,4.28
LINC01343,4.51
RHBDL2,3.99
PABPC4,12.7
HEYL,5.69
HEYL,6.93
NT5C1A,5.43
HPCAL4,6.31
BMP8B,4.07
OXCT2,6.82
TRIT1,10.99
MYCL,5.68
PPT1,12.17
COL9A2,5.45
RIMS3,5.9
CITED4,9.49
SLFNL1,6.05
SCMH1,10.6
EDN2,3.88
HIVEP3,6.61
GUCA2A,6.28
FOXJ3,13.07
ZMYND12,4.4
CLDN19,6.35
P3H1,11.23
SVBP,6.87
SLC2A1,13.53
C1orf210,7.45
ELOVL1; MIR6734,13.17
MED8,9.89
HYI,10.31
B4GALT2,12.22
SLC6A9,11.53
ERI3; ERI3-IT1,10.5
RNF220,9.68
TMEM53,6.46
BEST4,3.82
TCTEX1D4,5.61
PTCH2,7.56
EIF2B3,11.73
HECTD3,12.0
ZSWIM5,4.29
MUTYH,7.78
TESK2,4.45
CCDC163P,6.99
PRDX1,15.14
CCDC17,7.56
GPBP1L1,11.65
IPP,9.3
PIK3R3,10.6
POMGNT1,10.11
LRRC41,10.98
KNCN,7.85
ATPAF1,9.48
EFCAB14,11.17
CYP4A11,4.63
PDZK1IP1,6.03
TRABD2B,4.63
SPATA6,8.26
AGBL4,3.38
BEND5,8.01
DMRTA2,4.97
FAF1,12.34
TTC39A,4.93
EPS15,12.39
NRDC; MIR761,12.98
RAB3B,11.94
TXNDC12; KTI12,12.94
CC2D1B,6.88
ORC1,10.37
ZCCHC11,9.14
COA7,11.76
ECHDC2,11.33
SCP2,12.05
SLC1A7,5.68
C1orf123,13.91
MAGOH,13.24
LRP8,10.48
GLIS1,6.33
NDC1,12.52
YIPF1,8.15
HSPB11,12.73
LDLRAD1,6.0
TMEM59,12.38
SSBP3,8.42
FAM151A,4.46
PARS2,7.43
TTC22,4.92
DHCR24,13.31
USP24,12.7
USP24,7.99
USP24,5.17
PPAP2B,7.99
C1orf168,5.93
C8B,5.2
TACSTD2,4.34
MYSM1,12.64
JUN,12.17
CYP2J2,7.25
C1orf87,4.75
TM2D1,11.73
TM2D1,6.37
KANK4,5.04
DOCK7,12.53
ITGB3BP,11.4
ROR1-AS1,6.4
JAK1,13.38
LINC01359,6.2
INSL5,3.95
WDR78,8.18
SLC35D1,10.07
C1orf141,4.76
SERBP1,15.32
GNG12,13.72
DIRAS3,3.76
WLS,11.94
WLS,10.88
RPE65,5.52
DEPDC1,10.95
LRRC40,12.24
ANKRD13C,10.59
PTGER3,3.78
