subsystem,reaction
Sphingolipid metabolism,ST6GALNAC21
Sphingolipid metabolism,ST6GALNAC22
Sphingolipid metabolism,ST6GALNAC23
Sphingolipid metabolism,ST6GALNAC26
Sphingolipid metabolism,ST6GALNAC27
Sphingolipid metabolism,ST6GALNAC28
Sphingolipid metabolism,ST6GALNAC31_1
Sphingolipid metabolism,ST6GALNAC62
Sphingolipid metabolism,ST8SIA12
Sphingolipid metabolism,ST8SIA51g
Sphingolipid metabolism,ST8SIA52g
Sphingolipid metabolism,ST8SIA53g
Blood group synthesis,ST8SIA56g
"Transport, peroxisomal",STCOAtx
Fatty acid oxidation,STRDNCCPT1
"Transport, extracellular",STRDNCt
Steroid metabolism,STS1
Steroid metabolism,STS2
Steroid metabolism,STS2r
"Transport, peroxisomal",SUCCtp
Citric acid cycle,SUCD1m
Methionine and cysteine metabolism,SULFOX
Ubiquinone synthesis,T4HCINNMFM
"Transport, extracellular",TAGAT_Dt
"Transport, extracellular",TAURt4_2_r
"Transport, extracellular",TAXOLte
"Transport, extracellular",TCHOLAt
"Transport, mitochondrial",TCYNTtm
"Transport, peroxisomal",TDCHOLAtx
Thiamine metabolism,TDPm
"Transport, peroxisomal",TETHEX3COAtx
"Transport, extracellular",TETHEX3t
Fatty acid oxidation,TETPENT3CPT1
"Transport, peroxisomal",TETPENT6COAtx
Fatty acid oxidation,TETPENT6CPT1
Fatty acid oxidation,TETPENT6CRNt
Fatty acid oxidation,TETTET6CPT2
"Transport, peroxisomal",THCHOLSTOICtm
NAD metabolism,THD1m
"Transport, mitochondrial",THFtm
"Transport, extracellular",THMDt4
"Transport, extracellular",THMMPt4_1
"Transport, mitochondrial",THMMPtm_cho
"Transport, mitochondrial",THMt2m
Thiamine metabolism,THMTP
"Transport, extracellular",THMTPt_1
"Transport, extracellular",THRCYSNaEx
"Transport, extracellular",THRGLNNaEx
"Transport, extracellular",THRGLYexR
"Transport, extracellular",THRSERNaEx
"Transport, lysosomal",THYMDtl
"Transport, mitochondrial",THYMDtm
"Transport, extracellular",THYOXt
Tyrosine metabolism,THYPX
Lysine metabolism,TMABADH
Nucleotide interconversion,TMDK1m
Lysine metabolism,TMLYSOX
"Transport, peroxisomal",TMNDNCCOAtx
Fatty acid oxidation,TMNDNCCPT1
Fatty acid oxidation,TMNDNCCRNt
"Transport, extracellular",TMNDNCt
Miscellaneous,TRDR2
"Transport, extracellular",TRIODTHYSUFt
Tyrosine metabolism,TRIODTHYSULT
Tryptophan metabolism,TRPHYDRO2
Tryptophan metabolism,TRPO2
"Transport, extracellular",TRPt4
Tryptophan metabolism,TRYPTAOX
"Transport, extracellular",TSTSTERONEGLCte
"Transport, endoplasmic reticular",TSTSTERONEGLCtr
"Transport, extracellular",TSTSTERONESte
Steroid metabolism,TSTSTERONESULT
"Transport, extracellular",TSTSTERONEt
"Transport, endoplasmic reticular",TSTSTERONEtr
"Transport, extracellular",TSULt4_3
"Transport, extracellular",TTDCAtr
Fatty acid oxidation,TTDCPT2
Fatty acid oxidation,TTDCRNt
"Transport, endoplasmic reticular",TXA2tr
Tyrosine metabolism,TYRASE
Tyrosine metabolism,TYRDOPO
Tyrosine metabolism,TYROXDAc
Aminosugar metabolism,UAG2EMA
Aminosugar metabolism,UAGALDP
"Transport, lysosomal",UDPACGALtl
"Transport, golgi apparatus",UDPGALtg
Starch and sucrose metabolism,UDPGD
"Transport, golgi apparatus",UDPGLCAtg
"Transport, endoplasmic reticular",UDPGLCter
Nucleotide sugar metabolism,UDPGLDCg
Pentose phosphate pathway,UDPGNP
Starch and sucrose metabolism,UDPGP
"Transport, lysosomal",UDPtl
"Transport, endoplasmic reticular",UDPXYLter
"Transport, golgi apparatus",UDPXYLtg
Galactose metabolism,UGALGTg
Sphingolipid metabolism,UGCG
Steroid metabolism,UGT1A10r_1
Steroid metabolism,UGT1A1r
Steroid metabolism,UGT1A2r
Steroid metabolism,UGT1A4r
Steroid metabolism,UGT1A6r
Steroid metabolism,UGT1A8r
Steroid metabolism,UGT1A9r
Nucleotide interconversion,UMPK3
Nucleotide interconversion,UMPK4
Nucleotide interconversion,UMPK4n
Nucleotide interconversion,UMPK5
Nucleotide interconversion,UMPK6n
Nucleotide interconversion,UMPK7
Nucleotide interconversion,UMPK7n
Nucleotide interconversion,UMPKn
"Transport, endoplasmic reticular",UMPtr
"Transport, extracellular",URATEt
"Transport, extracellular",UREAt5
Urea cycle,UREAtm
"Transport, extracellular",URIt
"Transport, nuclear",Uritn
Vitamin C metabolism,UROLACer
"Transport, nuclear",UTPtn
"Transport, extracellular",VITD3t
Bile acid synthesis,VLCS2p
Bile acid synthesis,VLCSp
"Transport, extracellular",WHTTDCAte
Purine catabolism,XAOx
"Transport, mitochondrial",XOL27OHtm
"Transport, mitochondrial",XOL7AH2tm
"Transport, endoplasmic reticular",XOLDIOLONEt
"Transport, extracellular",XOLESTte
"Transport, extracellular",XOLTRI24te
"Transport, endoplasmic reticular",XOLTRI25tc
"Transport, extracellular",XOLTRI25te
"Transport, mitochondrial",XOLTRIOLtm
Pentose phosphate pathway,XYLK
Chondroitin synthesis,XYLTer
"Transport, extracellular",XYLTt
Pentose phosphate pathway,XYLUR
"Transport, extracellular",YVITEt
Extracellular exchange,EX_4abutn_e
Extracellular exchange,EX_acmana_e
Extracellular exchange,EX_ahdt_e
Extracellular exchange,EX_dgmp_e
Extracellular exchange,EX_dgtp_e
Extracellular exchange,EX_dha_e
Extracellular exchange,EX_dhap_e
Extracellular exchange,EX_dttp_e
Extracellular exchange,EX_isomal_e
Extracellular exchange,EX_HC00250_e
Extracellular exchange,EX_HC01361_e
Extracellular exchange,EX_HC01440_e
Extracellular exchange,EX_HC01446_e
Extracellular exchange,EX_HC01577_e
Extracellular exchange,EX_HC02160_e
Extracellular exchange,EX_orot_e
Extracellular exchange,EX_udpg_e
Purine catabolism,r0009
Aminosugar metabolism,r0013
Miscellaneous,r0016
Glutathione metabolism,GDR
Miscellaneous,r0023
Arginine and proline metabolism,NOS2
Methionine and cysteine metabolism,r0027
Purine catabolism,NDP1
Pyruvate metabolism,ACOAHim
Urea cycle,r0074
Miscellaneous,r0083
Urea cycle,r0086
Aminosugar metabolism,r0113
Purine catabolism,NTPP2
Glutathione metabolism,GTHRDH_syn
Glutathione metabolism,GGTAe2
Pyrimidine catabolism,r0139
Methionine and cysteine metabolism,r0142
Pyrimidine catabolism,r0149
Urea cycle,r0156
"Glycine, serine, alanine, and threonine metabolism",SPTc
Glycolysis/gluconeogenesis,PYK2
Pyrimidine catabolism,r0166
Glutamate metabolism,SSALxm
Purine catabolism,ITPH2
Glycolysis/gluconeogenesis,r0202
Fructose and mannose metabolism,MAN1PT
Folate metabolism,DHFR2i
Miscellaneous,r0242
Miscellaneous,r0246
Pentose phosphate pathway,r0249
Purine catabolism,GMPR
Fatty acid oxidation,r0287
Bile acid synthesis,GMPS
Fatty acid oxidation,ACOAR7m
Fatty acid oxidation,r0310
Fatty acid oxidation,r0311
Miscellaneous,r0319
Pyrimidine catabolism,r0330
Glycolysis/gluconeogenesis,r0354
Glycolysis/gluconeogenesis,r0355
Fructose and mannose metabolism,r0358
Fructose and mannose metabolism,r0361
Taurine and hypotaurine metabolism,r0381
Miscellaneous,r0383
Vitamin B6 metabolism,PYDXNO
Miscellaneous,r0390_1
Nucleotide interconversion,HXAND
Tetrahydrobiopterin metabolism,PHETHPTOX
Tetrahydrobiopterin metabolism,r0402
Tetrahydrobiopterin metabolism,r0403
Miscellaneous,r0407
Miscellaneous,r0408
Miscellaneous,r0409
Pyrimidine catabolism,r0410
Miscellaneous,r0425
Fatty acid oxidation,r0433_1
Fatty acid oxidation,r0434
Fatty acid oxidation,r0437
Fatty acid oxidation,r0438
Fatty acid oxidation,r0441
Miscellaneous,r0451
Cholesterol metabolism,r0463
Miscellaneous,r0465_1
Nucleotide interconversion,RNTR1
Nucleotide interconversion,RNTR2
Glycerophospholipid metabolism,r0480
Pyrimidine catabolism,r0483
Cholesterol metabolism,HMGCOAR
Pyrimidine catabolism,r0494
Pyrimidine catabolism,r0497
Miscellaneous,r0511
Folate metabolism,r0514
Folate metabolism,THFATm
Glycerophospholipid metabolism,SPHPL
Miscellaneous,r0546
"Glycine, serine, alanine, and threonine metabolism",BETALDHx
Miscellaneous,r0557
Miscellaneous,r0558
Glutathione metabolism,r0568
"Valine, leucine, and isoleucine metabolism",r0571
Bile acid synthesis,r0573
CoA synthesis,r0579
NAD metabolism,DNADDP
CoA synthesis,DPCOAPP
Lysine metabolism,AASAD3
Miscellaneous,r0610
Arginine and proline metabolism,HPROx
Arginine and proline metabolism,HPROxm
Arginine and proline metabolism,HPROb
Miscellaneous,r0627
Bile acid synthesis,r0629
Bile acid synthesis,r0630
Fatty acid oxidation,r0633
Fatty acid oxidation,r0637
Miscellaneous,r0642
Tryptophan metabolism,AM6SAD
Tryptophan metabolism,r0647
Miscellaneous,r0648
Bile acid synthesis,r0650
Fatty acid oxidation,ACACT7m
Miscellaneous,r0656
Fatty acid oxidation,ECOAH5p
Purine synthesis,PRAIS
"Valine, leucine, and isoleucine metabolism",r0669
Miscellaneous,r0670
Bile acid synthesis,r0672
Bile acid synthesis,r0688
Bile acid synthesis,r0698
Bile acid synthesis,r0706
Miscellaneous,r0716_1
Fatty acid oxidation,r0717
Fatty acid oxidation,HACD6m
Fatty acid oxidation,r0721
Fatty acid oxidation,HACD5p
Fatty acid oxidation,ACACT5m
Fatty acid oxidation,ECOAH4p
Fatty acid oxidation,r0730
Fatty acid oxidation,r0731
Fatty acid oxidation,r0734
Miscellaneous,r0737
Bile acid synthesis,r0743
Bile acid synthesis,r0744
Bile acid synthesis,r0750
Miscellaneous,r0755
Miscellaneous,r0756
Miscellaneous,r0774
Cholesterol metabolism,LNS14DMr
Aminosugar metabolism,r0782
Pentose phosphate pathway,r0784
Sphingolipid metabolism,r0786
Sphingolipid metabolism,SBPP1
Sphingolipid metabolism,r0788
Sphingolipid metabolism,r0789
Bile acid synthesis,r0797
"Transport, mitochondrial",r0801
Purine catabolism,r0812
"Transport, mitochondrial",r0819
"Transport, mitochondrial",r0822
"Transport, mitochondrial",r0829
"Transport, mitochondrial",r0830
"Transport, mitochondrial",r0836
"Transport, extracellular",r0839
"Transport, endoplasmic reticular",r0840
"Transport, endoplasmic reticular",r0841
"Transport, endoplasmic reticular",r0842
"Transport, endoplasmic reticular",r0845
Purine catabolism,r0859
"Transport, extracellular",r0870
"Transport, mitochondrial",r0885
"Transport, extracellular",r0892
"Transport, extracellular",r0899
"Transport, mitochondrial",r0907
"Transport, endoplasmic reticular",r0908
"Transport, endoplasmic reticular",r0909
"Transport, mitochondrial",MALICITtm
"Transport, mitochondrial",r0915
"Transport, mitochondrial",r0921
"Transport, extracellular",r0924
"Transport, mitochondrial",r0926
"Transport, lysosomal",r0932
"Transport, endoplasmic reticular",r0936
"Transport, lysosomal",r0937
"Transport, extracellular",r0940
"Transport, extracellular",r0942
"Transport, extracellular",SPMDtex2
"Transport, peroxisomal",r0954
"Transport, endoplasmic reticular",r0960
"Transport, mitochondrial",r0962
"Transport, mitochondrial",r0975
"Transport, endoplasmic reticular",r0983
"Transport, lysosomal",r0984
"Transport, lysosomal",r0986
"Transport, lysosomal",r0987
"Transport, endoplasmic reticular",r0989
"Transport, endoplasmic reticular",r0994
"Transport, peroxisomal",r0997
"Transport, mitochondrial",CARN1619Zt_m
"Transport, endoplasmic reticular",r1002
"Transport, mitochondrial",r1005
"Transport, peroxisomal",r1007
"Transport, mitochondrial",r1008
"Transport, endoplasmic reticular",r1013
"Transport, peroxisomal",r1014
"Transport, extracellular",r1017
"Transport, extracellular",r1028
"Transport, extracellular",r1029
"Transport, extracellular",r1043
"Transport, extracellular",r1044
"Transport, extracellular",r1045
"Transport, endoplasmic reticular",r1051
"Transport, extracellular",CITt2r
"Transport, extracellular",CITt4_1
"Transport, mitochondrial",r1117
Miscellaneous,r1134
"Transport, extracellular",r1143
"Transport, extracellular",GLUt4
"Transport, peroxisomal",r1148
"Transport, lysosomal",r1150
"Transport, mitochondrial",r1155
"Transport, extracellular",r1162
"Transport, extracellular",r1163
Miscellaneous,r1164
Miscellaneous,r1167
Miscellaneous,r1170
Miscellaneous,r1175
Miscellaneous,r1177
Miscellaneous,r1179
Miscellaneous,r1182
Fatty acid oxidation,r1251
Fatty acid oxidation,r1252
Fatty acid oxidation,r1253
Fatty acid oxidation,r1254
Fatty acid oxidation,r1260
Fatty acid oxidation,r1262
"Transport, mitochondrial",PPCOAtm
"Transport, peroxisomal",r1292
"Transport, lysosomal",r1298
"Transport, lysosomal",r1304
"Transport, lysosomal",r1364
"Transport, lysosomal",r1365
Aminosugar metabolism,r1374
Aminosugar metabolism,r1375
Miscellaneous,r1378
Folate metabolism,r1382_1
Folate metabolism,r1383_1
Nucleotide interconversion,r1384
Miscellaneous,r1392
Fatty acid oxidation,r1400
Miscellaneous,HCO3Ee
"Transport, extracellular",r1421
"Transport, extracellular",PIt
"Transport, peroxisomal",r1428
"Transport, mitochondrial",ALAtmi
"Transport, mitochondrial",r1435
"Transport, mitochondrial",r1437
Fatty acid oxidation,ACOAO5p
Fatty acid oxidation,ACOAO4p
Fatty acid oxidation,r1448
Fatty acid oxidation,r1449
Fatty acid oxidation,r1450
"Transport, mitochondrial",PHEt2m
"Transport, mitochondrial",r1456
"Transport, mitochondrial",r1467
"Transport, mitochondrial",r1468
Fatty acid oxidation,r1487
"Transport, extracellular",GTHRDt2
"Transport, extracellular",r1495
"Transport, extracellular",r1497
"Transport, extracellular",r1498
"Transport, extracellular",r1499
"Transport, extracellular",r1502
"Transport, extracellular",r1503
"Transport, extracellular",r1515
"Transport, extracellular",r1518
"Transport, extracellular",r1519
"Transport, extracellular",r1520
"Transport, extracellular",r1525
"Transport, extracellular",r1530
"Transport, extracellular",r1531_1
"Transport, extracellular",r1533_1
"Transport, extracellular",r1536
"Transport, extracellular",r1540
"Transport, extracellular",r1547
"Transport, extracellular",r1548
"Transport, extracellular",r1549
"Transport, extracellular",r1552
"Transport, extracellular",r1553
"Transport, extracellular",r1554
"Transport, extracellular",r1556
"Transport, extracellular",r1557
"Transport, extracellular",r1560
"Transport, extracellular",r1561
"Transport, extracellular",r1562
"Transport, extracellular",r1564
"Transport, extracellular",r1565
"Transport, extracellular",r1567
"Transport, extracellular",r1568
"Transport, extracellular",r1571
"Transport, extracellular",r1578
"Transport, extracellular",r1579
"Transport, extracellular",r1581
"Transport, extracellular",r1584
"Transport, extracellular",r1585
"Transport, extracellular",r1586
"Transport, extracellular",r1587
"Transport, extracellular",r1588
"Transport, extracellular",r1589
"Transport, extracellular",r1590
"Transport, extracellular",r1591
"Transport, extracellular",r1593
"Transport, extracellular",r1594
"Transport, extracellular",r1595
"Transport, extracellular",r1597
"Transport, extracellular",r1603
"Transport, extracellular",r1604
"Transport, extracellular",r1610
"Transport, extracellular",r1611
"Transport, extracellular",r1612
"Transport, extracellular",r1613
"Transport, extracellular",r1615
"Transport, extracellular",r1616
"Transport, extracellular",r1617
"Transport, extracellular",TYRPHELAT2tc
"Transport, extracellular",CYSPHELAT2tc
"Transport, extracellular",r1621
"Transport, extracellular",ASNPHELAT2tc
"Transport, extracellular",VALPHELAT2tc
"Transport, extracellular",THRPHELAT2tc
"Transport, extracellular",ILEPHELAT2tc
"Transport, extracellular",r1629
"Transport, extracellular",r1630
"Transport, extracellular",r1631
"Transport, extracellular",r1632
"Transport, extracellular",r1634
"Transport, extracellular",r1637
"Transport, extracellular",r1641
"Transport, extracellular",r1645
"Transport, extracellular",ILELAT1tc
"Transport, extracellular",r1648
"Transport, extracellular",r1649
"Transport, extracellular",r1652
"Transport, extracellular",r1657
"Transport, extracellular",r1659
"Transport, extracellular",r1661
"Transport, extracellular",r1666
"Transport, extracellular",r1671
"Transport, extracellular",r1673
"Transport, extracellular",r1674
"Transport, extracellular",r1676
"Transport, extracellular",r1678
"Transport, extracellular",r1680
"Transport, extracellular",r1685
"Transport, extracellular",r1686
"Transport, extracellular",r1692
"Transport, extracellular",r1693
"Transport, extracellular",r1696
"Transport, extracellular",r1700
"Transport, extracellular",r1701
"Transport, extracellular",r1705
"Transport, extracellular",r1706
"Transport, extracellular",r1707
"Transport, extracellular",r1710
"Transport, extracellular",r1717
"Transport, extracellular",r1722
"Transport, extracellular",r1723
"Transport, extracellular",r1726
"Transport, extracellular",r1731
"Transport, extracellular",r1732
"Transport, extracellular",r1736
"Transport, extracellular",r1744
"Transport, extracellular",r1745
"Transport, extracellular",r1746
"Transport, extracellular",r1747
"Transport, extracellular",r1748
"Transport, extracellular",r1750
"Transport, extracellular",r1752
"Transport, extracellular",r1753
"Transport, extracellular",r1754
"Transport, extracellular",r1755
"Transport, extracellular",r1758
"Transport, extracellular",r1762
"Transport, extracellular",r1763
"Transport, extracellular",r1764
"Transport, extracellular",r1766
"Transport, extracellular",r1768
"Transport, extracellular",r1771
"Transport, extracellular",r1774
"Transport, extracellular",r1778
"Transport, extracellular",r1779
"Transport, extracellular",r1781
"Transport, extracellular",r1783
"Transport, extracellular",r1784
"Transport, extracellular",r1786
"Transport, extracellular",r1789
"Transport, extracellular",r1790
"Transport, extracellular",r1791
"Transport, extracellular",r1792
"Transport, extracellular",r1796
"Transport, extracellular",r1797
"Transport, extracellular",r1798
"Transport, extracellular",r1799
"Transport, extracellular",r1805
"Transport, extracellular",r1806
"Transport, extracellular",r1809
"Transport, extracellular",r1811
"Transport, extracellular",r1814
"Transport, extracellular",r1817
"Transport, extracellular",r1818
"Transport, extracellular",r1820
"Transport, extracellular",r1821
"Transport, extracellular",r1822
"Transport, extracellular",r1823
"Transport, extracellular",r1824
"Transport, extracellular",r1827
"Transport, extracellular",r1829
"Transport, extracellular",r1830
"Transport, extracellular",r1832
"Transport, extracellular",r1833
"Transport, extracellular",r1836
"Transport, extracellular",r1837
"Transport, extracellular",r1841
"Transport, extracellular",r1842
"Transport, extracellular",r1846
"Transport, extracellular",r1847
"Transport, extracellular",r1848
"Transport, extracellular",r1851
"Transport, extracellular",r1853
"Transport, extracellular",r1854
"Transport, extracellular",r1855
"Transport, extracellular",r1857
"Transport, extracellular",r1858
"Transport, extracellular",r1860
"Transport, extracellular",r1861
"Transport, extracellular",r1864
"Transport, extracellular",r1865
"Transport, extracellular",r1867
"Transport, extracellular",r1874
"Transport, extracellular",r1876
"Transport, extracellular",r1877
"Transport, extracellular",r1880
"Transport, extracellular",r1881
"Transport, extracellular",r1882
"Transport, extracellular",r1885
"Transport, extracellular",r1887
"Transport, extracellular",r1889
"Transport, extracellular",r1890
"Transport, extracellular",r1892
"Transport, extracellular",r1893
"Transport, extracellular",r1898
"Transport, extracellular",r1899
"Transport, extracellular",r1900
"Transport, extracellular",r1901
"Transport, extracellular",r1903
"Transport, extracellular",r1904
"Transport, extracellular",r1905
"Transport, extracellular",r1907
"Transport, extracellular",r1908
"Transport, extracellular",r1910
"Transport, extracellular",r1912
"Transport, extracellular",r1916
"Transport, extracellular",r1918
"Transport, extracellular",r1920
"Transport, extracellular",r1921
"Transport, extracellular",r1925
"Transport, extracellular",r1928
"Transport, extracellular",r1932
"Transport, extracellular",r1935
"Transport, extracellular",r1940
"Transport, extracellular",r1944
"Transport, extracellular",r1945
"Transport, extracellular",r1948
"Transport, extracellular",r1949
"Transport, extracellular",r1951
"Transport, extracellular",r1954
"Transport, extracellular",r1957
"Transport, extracellular",r1961
"Transport, extracellular",r1962
"Transport, extracellular",r1963
"Transport, extracellular",r1964
"Transport, extracellular",r1965
"Transport, extracellular",r1967
"Transport, extracellular",r1970
"Transport, extracellular",r1972
"Transport, extracellular",r1974
"Transport, extracellular",r1976
"Transport, extracellular",r1980
"Transport, extracellular",r1981
"Transport, extracellular",r1983
"Transport, extracellular",r1984
"Transport, extracellular",r1985
"Transport, extracellular",r1986
"Transport, extracellular",r1987
"Transport, extracellular",r1989
"Transport, extracellular",r1997
"Transport, extracellular",r2000
"Transport, extracellular",r2001
"Transport, extracellular",r2003
"Transport, extracellular",r2004
"Transport, extracellular",r2005
"Transport, extracellular",r2007
"Transport, extracellular",r2011
"Transport, extracellular",r2013
"Transport, extracellular",r2014
"Transport, extracellular",r2016
"Transport, extracellular",r2017
"Transport, extracellular",r2018
"Transport, extracellular",r2021
"Transport, extracellular",r2023
"Transport, extracellular",r2026
"Transport, extracellular",r2030
"Transport, extracellular",r2031
"Transport, extracellular",r2032
"Transport, extracellular",r2035
"Transport, extracellular",r2036
"Transport, extracellular",r2038
"Transport, extracellular",r2039
"Transport, extracellular",r2040
"Transport, extracellular",r2041
"Transport, extracellular",r2046
"Transport, extracellular",r2047
"Transport, extracellular",r2048
"Transport, extracellular",r2049
"Transport, extracellular",r2050
"Transport, extracellular",r2051
"Transport, extracellular",r2055
"Transport, extracellular",r2056
"Transport, extracellular",r2058
"Transport, extracellular",r2060
"Transport, extracellular",r2063
"Transport, extracellular",r2065
"Transport, extracellular",r2067
"Transport, extracellular",r2068
"Transport, extracellular",r2071
"Transport, extracellular",r2073_1
"Transport, extracellular",r2080
"Transport, extracellular",r2081
"Transport, extracellular",r2084
"Transport, extracellular",r2085
"Transport, extracellular",r2086
"Transport, extracellular",r2087
"Transport, extracellular",r2088
"Transport, extracellular",r2089
"Transport, extracellular",r2090
"Transport, extracellular",r2092
"Transport, extracellular",r2093
"Transport, extracellular",r2094
"Transport, extracellular",r2096
"Transport, extracellular",r2100
"Transport, extracellular",r2101
"Transport, extracellular",r2104
"Transport, extracellular",r2106
"Transport, extracellular",r2108
"Transport, extracellular",r2111
"Transport, extracellular",r2113
"Transport, extracellular",r2114
"Transport, extracellular",r2115
"Transport, extracellular",r2120
"Transport, extracellular",r2121
"Transport, extracellular",r2122
"Transport, extracellular",r2123
"Transport, extracellular",r2125
"Transport, extracellular",r2126
"Transport, extracellular",r2130
"Transport, extracellular",r2133
"Transport, extracellular",r2139
"Transport, extracellular",r2141
"Transport, extracellular",r2146
"Transport, extracellular",r2149
"Transport, extracellular",r2150
"Transport, extracellular",r2151
"Transport, extracellular",r2153
"Transport, extracellular",r2159
"Transport, extracellular",r2164
"Transport, extracellular",r2165
"Transport, extracellular",r2166
"Transport, extracellular",r2167
"Transport, extracellular",r2172
"Transport, extracellular",r2173
"Transport, extracellular",r2175
"Transport, extracellular",r2176
"Transport, extracellular",r2177
"Transport, extracellular",r2178
"Transport, extracellular",r2179
"Transport, extracellular",r2189
"Transport, extracellular",r2191
"Transport, extracellular",r2192
"Transport, extracellular",r2193
"Transport, extracellular",r2195
"Transport, extracellular",r2196
"Transport, extracellular",r2199
"Transport, extracellular",r2201
"Transport, extracellular",r2202
"Transport, extracellular",r2204
"Transport, extracellular",r2205
"Transport, extracellular",r2206
"Transport, extracellular",r2210
"Transport, extracellular",r2211
"Transport, extracellular",r2212
"Transport, extracellular",r2213
"Transport, extracellular",r2215
"Transport, extracellular",r2217
"Transport, extracellular",r2219
"Transport, extracellular",r2226
"Transport, extracellular",r2227
"Transport, extracellular",r2228
"Transport, extracellular",r2229
"Transport, extracellular",r2230
"Transport, extracellular",r2231
"Transport, extracellular",r2233
"Transport, extracellular",r2236
"Transport, extracellular",r2237
"Transport, extracellular",r2238
"Transport, extracellular",r2239
"Transport, extracellular",r2242
"Transport, extracellular",r2244
"Transport, extracellular",r2245
"Transport, extracellular",r2246
"Transport, extracellular",r2247
"Transport, extracellular",r2248
"Transport, extracellular",r2249
"Transport, extracellular",r2250
"Transport, extracellular",r2255
"Transport, extracellular",r2256
"Transport, extracellular",r2257
"Transport, extracellular",r2258
"Transport, extracellular",r2260
"Transport, extracellular",r2264
"Transport, extracellular",r2265
"Transport, extracellular",r2266
"Transport, extracellular",r2268
"Transport, extracellular",r2273
"Transport, extracellular",r2275
"Transport, extracellular",r2276
"Transport, extracellular",r2277
"Transport, extracellular",r2278
"Transport, extracellular",r2282
"Transport, extracellular",r2283
"Transport, mitochondrial",25HVITD2tin_m
"Transport, extracellular",r2289
"Transport, extracellular",r2293
"Transport, extracellular",r2294
"Transport, extracellular",r2297
"Transport, extracellular",r2299
"Transport, extracellular",r2300
"Transport, extracellular",r2342
"Transport, extracellular",r2301
"Transport, extracellular",r2307
"Transport, extracellular",r2309
"Transport, extracellular",r2310
"Transport, extracellular",r2313
"Transport, extracellular",r2315
"Transport, extracellular",r2317
"Transport, extracellular",r2321
"Transport, extracellular",r2324
"Transport, extracellular",r2325
"Transport, extracellular",r2331
"Transport, extracellular",r2332
"Transport, extracellular",r2333
"Transport, extracellular",r2334
"Transport, extracellular",r2439
"Transport, extracellular",r2335
"Transport, extracellular",r2341
Fatty acid oxidation,RE0512X
Fatty acid synthesis,RE0567C
"Transport, extracellular",SERt2r
"Transport, extracellular",r2344
"Transport, extracellular",r2347
"Transport, extracellular",r2352
Fatty acid synthesis,RE0568C
"Transport, extracellular",r2354
"Transport, mitochondrial",r2472
"Transport, endoplasmic reticular",G6Pt6er
Fatty acid synthesis,RE0569C
"Transport, extracellular",r2484
"Transport, extracellular",r2486
"Transport, extracellular",r2355
"Transport, extracellular",r2357
"Transport, extracellular",r2358
"Transport, extracellular",r2487
"Transport, extracellular",r2359
"Transport, extracellular",r2488
Fatty acid synthesis,RE0569E
"Transport, extracellular",r2489
"Transport, extracellular",r2491
"Transport, extracellular",r2360
"Transport, extracellular",r2362
"Transport, extracellular",r2363
"Transport, extracellular",r2366
"Transport, extracellular",r2492
"Transport, extracellular",r2493
"Transport, extracellular",r2496
"Transport, extracellular",r2369
"Transport, mitochondrial",r2374
"Transport, mitochondrial",r2375
"Transport, mitochondrial",r2377
"Transport, mitochondrial",r2382
"Transport, peroxisomal",r2502
"Transport, endoplasmic reticular",r2505
"Transport, endoplasmic reticular",r2506
"Transport, endoplasmic reticular",r2509
"Transport, endoplasmic reticular",r2510
"Transport, mitochondrial",r2384
"Transport, mitochondrial",r2385
"Transport, endoplasmic reticular",r2512
"Transport, mitochondrial",r2387
"Transport, endoplasmic reticular",r2514
"Transport, mitochondrial",r2388
"Transport, endoplasmic reticular",r2515
Fatty acid synthesis,RE0570C
"Transport, peroxisomal",r2516
"Transport, peroxisomal",r2517
"Transport, mitochondrial",r2396
"Transport, mitochondrial",r2399
"Transport, mitochondrial",r2400
"Transport, mitochondrial",r2404
"Transport, peroxisomal",r2518
Fatty acid synthesis,RE0575C
"Transport, endoplasmic reticular",r2519
"Transport, mitochondrial",r2520
"Transport, mitochondrial",r2405
"Transport, mitochondrial",r2407
"Transport, extracellular",GLNt
"Transport, extracellular",r2532
"Transport, mitochondrial",r2408
Urea cycle,RE0689E
"Transport, mitochondrial",r2409
"Transport, mitochondrial",r2411
"Transport, extracellular",r2534
"Transport, endoplasmic reticular",r2538
Extracellular exchange,EX_so3_e
"Transport, mitochondrial",r2412
"Transport, mitochondrial",r2419
Pyrimidine synthesis,RE0452M
Urea cycle,RE0690E
Pyrimidine synthesis,RE0453C
Pyrimidine synthesis,RE0453M
Pyrimidine synthesis,RE0456N
Fatty acid oxidation,RE1518X
Fatty acid oxidation,RE1519X
Fatty acid oxidation,RE1520M
Fatty acid oxidation,RE1520X
Fatty acid oxidation,RE1522M
Urea cycle,RE0691C
Fatty acid oxidation,RE1522X
Fatty acid oxidation,RE1526M
Tyrosine metabolism,RE0908C
Fatty acid oxidation,RE1526X
Fatty acid oxidation,RE1527M
Phosphatidylinositol phosphate metabolism,RE1957R_1
Tyrosine metabolism,RE0912C
Fatty acid oxidation,RE1527X
Starch and sucrose metabolism,RE0915C
Pyrimidine synthesis,RE1530M
Fatty acid oxidation,RE1531M
Tyrosine metabolism,RE0918C
Fatty acid oxidation,RE1533X
Starch and sucrose metabolism,RE0958C
Fatty acid oxidation,RE1534M
Fatty acid oxidation,RE1534X
